"stop_id,C,254","stop_name,C,254","stop_lat,N,24,15","stop_lon,N,24,15","location_t,N,10,0","parent_sta,C,254","trip_count,N,2,0","trip_ids,C,251","route_ids,C,254","route_nams,C,109",subcounty,distance_from_cbd_km
0700WIJ,Kwa Maji,-1.259770757,36.70748413,0,,1,70103110,70000010311,103,Dagoretti,12.417402550681542
0710TRU,Ruthimitu,-1.281301975,36.70375586,0,,1,70102110,70600010211,102,Dagoretti,12.55436064442715
0711MUI,Ruthimito,-1.28130734,36.70326233,0,,1,70002111,70601000211,2,Dagoretti,12.609205451899841
0700IOO,Wakorino,-1.281613111,36.70179784,0,,1,70002110,70601000211,2,Dagoretti,12.771428709098902
0711WOA,Wakorino,-1.281666756,36.70154572,0,,1,70002111,70601000211,2,Dagoretti,12.799365311082232
0801C8J,87 Junction/Gachecheni,-1.258982152,36.703839,0,,1,80114111,80000114011,114W,Dagoretti,12.832003813546356
0810WJM,Wanjimi/87 Junction,-1.258501,36.703092,0,,5,70103110 80105111 80114110 80115110 80135110,70000010311 80500010511 80000114011 80000115011 80000135011,103 105 114W 115 135,Dagoretti,12.924512616811326
0801GCC,87 - Junction /Gachecheni,-1.25867486,36.70290828,0,,2,70103111 80105110,70000010311 80500010511,103 105,Dagoretti,12.94035571178627
0701MUT,Mugiriti,-1.282514334,36.69924974,0,,2,70002111 70102111,70601000211 70600010211,2 102,Dagoretti,13.053579371405938
081178_,87,-1.258224249,36.70190513,0,,1,80115111,80000115011,115,Dagoretti,13.059983028782925
